#qsoName		ra		dec			Z		Y		J		H		K		errZ		errY		errJ		errH		errK		
ULASJ0203+0012		30.8849155 	0.20813040		-1000		-1000		19.6971		19.2845		19.0671		-1000		-1000		0.024275	0.043862	0.028712		
VDESJ0020-3653		5.1311237  	-36.894947		-1000		-1000		20.4218		-1000		19.3191		-1000		-1000		0.068346	-1000		0.077284		
VDESJ0143-5545		25.7926666998	-55.752966		-1000		-1000		20.6008		-1000		20.1028		-1000		-1000		0.058414	-1000		0.111185		
VDESJ0224-4711		36.11057   	-47.19149 		-1000		-1000		19.7277		19.4472		18.9381		-1000		-1000		0.037308	0.053283	0.041804		
VDESJ0244-5008		41.0	   	-50.133333		-1000		-1000		-1e+09		-1e+09		-1e+09		-1000		-1000		-1e+09		-1e+09		-1e+09		
VDESJ0246-5219		41.7329167004	-52.330527		-1000		-1000		21.1093		-1000		20.3886		-1000		-1000		0.117443	-1000		0.170366		
VDESJ0323-4701		50.9180833 	-47.022258		-1000		-1000		20.8195		20.7502		20.3485		-1000		-1000		0.108824	0.150313	0.156271		
VDESJ0330-4025		52.6163333 	-40.421222		-1000		-1000		20.4463		-1000		20.0449		-1000		-1000		0.052711	-1000		0.117168		
VDESJ0408-5632		62.080125  	-56.541338		-1000		-1000		19.8519		-1000		19.6841		-1000		-1000		0.029861	-1000		0.073266		
VDESJ0410-4414		62.5134582996	-44.244638		-1000		-1000		20.6921		-1000		20.1701		-1000		-1000		0.075025	-1000		0.137838		
VDESJ0420-4453		65.04725   	-44.889944		-1000		-1000		20.5504		-1000		19.9928		-1000		-1000		0.055901	-1000		0.100805		
VDESJ0454-4448		73.50745   	-44.808640		-1000		-1000		20.1971		-1000		20.0772		-1000		-1000		0.040816	-1000		0.110717		
VDESJ2131-4359		322.792875 	-43.984027		-1000		-1000		21.2669		-1000		20.6195		-1000		-1000		0.136868	-1000		0.193745		
VDESJ2211-6320		332.7525   	-63.348833		-1000		-1000		21.2716		-1000		21.0677		-1000		-1000		0.126666	-1000		0.348324		
VDESJ2250-5015		342.508375 	-50.261708		-1000		-1000		19.1663		18.9598		18.9449		-1000		-1000		0.027578	0.031104	0.041831		
CFHQSJ0033-0125		8.2975	   	-1.4235833		-1000		-1000		21.406		21.3218		20.7865		-1000		-1000		0.189515	0.264906	0.168865		
CFHQSJ0102-0218		15.710999  	-2.3027499		-1000		-1e+09		21.6473		22.6456		22.5119		-1000		-1e+09		0.349543	1.24065		1.54465				
CFHQSJ0210-0456		32.554958  	-4.9391388		-1000		-1000		22.3316		22.612		21.1051		-1000		-1000		0.351583	0.566269	0.227516		
CFHQSJ0216-0455		34.115875  	-4.9261387		24.5991		26.6418		-1e+09		-1e+09		-1e+09		0.072544	0.828466	-1e+09		-1e+09		-1e+09		
CFHQSJ0221-0802		35.344625  	-8.0476388		-1000		-1000		22.1023		-1000		21.0364		-1000		-1000		0.178284	-1000		0.200961		
CFHQSJ0227-0605		36.930375  	-6.0917222		22.2103		22.0918		21.9283		21.9447		21.4867		0.082237	0.151424	0.136283	0.209255	0.184642		
CFHQSJ1059-0906		164.8692   	-9.1056666		-1000		21.6997		20.3452		21.7347		20.8331		-1000		0.319767	0.103771	0.581143	0.365261		
CFHQSJ1509-1749		227.424079998	-17.824111		-1000		19.7952		19.7458		-1000		19.4865		-1000		0.031323	0.03971		-1000		0.076862		
CFHQSJ2100-1715		315.22758  	-17.256249		-1000		23.323		21.1611		-1000		21.1043		-1000		1.37618		0.286949	-1000		0.550015		
CFHQSJ2318-0246		349.51166  	-2.7761111		-1000		22.7599		22.1491		21.0807		20.3866		-1000		0.976984	0.572927	0.277245	0.233077		
CFHQSJ2329-0301		352.2845   	-3.0329999		-1000		21.1419		22.2019		20.9639		20.9464		-1000		0.268863	0.676721	0.302898	0.373539		
CFHQSJ2329-0403		352.31025  	-4.0566944		-1000		25.0024		23.1083		-1e+09		22.4071		-1000		6.69078		1.25675		-1e+09		1.18566		
FIRSTJ1427+3312		216.91079  	33.2116659		-1000		-1000		-1000		-1000		-1000		-1000		-1000		-1000		-1000		-1000		
SDSSJ0221-0342B		35.3025416005	-3.7145	  		19.404		-1000		19.5239		19.1301		19.1008		0.008158	-1000		0.022416	0.023164	0.023904		
VDESJ02165-5226		34.161875  	-52.439055		-1000		-1000		21.2238		-1000		20.6358		-1000		-1000		0.162722	-1000		0.194466		
SDWISEJ0025-0145	6.3618333  	-1.7590306		-1000		18.0268		17.9464		17.7178		17.5892		-1000		0.014261	0.013751	0.019219	0.01761		
SDWISEJ0115-0253	18.9427916003	-2.8867333		-1000		19.6678		19.6158		19.435		19.467		-1000		0.037416	0.037204	0.048352	0.064981		
SDWISEJ0131-0321	22.8639166003	-3.3500527		-1000		17.8442		17.6459		17.3564		17.3555		-1000		0.010375	0.008571	0.009443	0.015374		
SDWISEJ1601-1828	240.2964999	-18.476411		-1000		-1000		19.0822		-1000		18.5998		-1000		-1000		0.036538	-1000		0.042346		
SDWISEJ2207-0416	331.792166603	-4.2823	  		-1000		18.6563		18.7896		18.2716		18.1361		-1000		0.020255	0.025132	0.023609	0.026353		
SDWISEJ2226-0618	336.551708303	-6.3020249		-1000		18.6373		18.696		18.4457		18.3469		-1000		0.017965	0.022697	0.028863	0.030038		
SHELLQsJ0202-0251	30.7425417 	-2.8648889		-1000		-1000		22.6114		21.4811		21.1975		-1000		-1000		0.480528	0.254108	0.270172		
SHELLQsJ0206-0255	31.5466667003	-2.9271667		-1000		-1000		21.0968		21.1553		20.7584		-1000		-1000		0.104752	0.165836	0.145611		
SHELLQsJ0211-0203	32.9355417 	-2.0510832		-1000		-1000		23.2487		21.4814		22.5103		-1000		-1000		0.829644	0.274807	0.77258		
SHELLQsJ0213-0626	33.3205832996	-6.4375556		-1000		-1000		22.0605		24.4756		21.4649		-1000		-1000		0.23826		3.24696		0.281805		
SHELLQsJ0217-0208	34.3399583 	-2.1479444		-1000		-1000		24.2728		22.4699		22.3706		-1000		-1000		3.07889		1.01431		0.97907		
SHELLQsJ0220-0432	35.1238333 	-4.5344444		23.2897		23.5286		23.3867		23.3482		22.9565		0.20584		0.050945	0.066915	0.098209	0.104759		
SHELLQsJ0235-0532	38.92675   	-5.5448889		-1000		-1000		-1e+09		23.6556		22.5631		-1000		-1000		-1e+09		1.64812		0.878681		
SHELLQsJ0834+0211	128.503666703	2.19636110		-1000		-1000		23.1476		21.8687		21.903		-1000		-1000		1.2228		0.455501	0.908691		
SHELLQsJ0844-0052	131.1316666	-0.8818333		23.3427		23.772		23.0537		23.3739		22.4899		0.346504	1.07946		0.629424	2.14109		0.893071		
SHELLQsJ0844-0132	131.035875 	-1.5379167		24.1325		23.4855		23.0393		22.8092		-1e+09		0.515474	0.564391	0.462365	1.00149		-1e+09		
SHELLQsJ0853+0139	133.4535   	1.6530556 		23.4894		23.6557		23.8616		22.4403		-1e+09		0.280974	0.655517	1.0847		0.627114	-1e+09		
SHELLQsJ0857+0056	134.4105416	0.93686109		24.6083		23.8412		23.8111		25.8001		23.2623		0.588486	1.02544		0.919334	6.99168		1.16866		
SHELLQsJ0858+0000	134.5562917	0.0158611 		21.7221		-1000		21.2957		20.9886		20.9488		0.047664	-1000		0.130832	0.105946	0.142316		
SHELLQsJ0902+0155	135.728625 	1.9196944 		24.2383		25.9623		22.9069		23.3342		-1e+09		0.445293	4.84416		0.406374	1.0647		-1e+09		
SHELLQsJ0903+0211	135.8111666	2.1911944 		23.8853		23.6452		23.9341		22.8477		24.6193		0.302808	0.49687		0.85263		0.686847	3.30959		
SHELLQsJ0905+0300	136.4360416	3.0163333 		23.8087		-1e+09		22.1842		21.3649		21.9504		0.538732	-1e+09		0.466389	0.311837	0.544996		
SHELLQsJ0911+0152	137.809458302	1.87205560		-1e+09		-1e+09		-1e+09		24.2805		-1e+09		-1e+09		-1e+09		-1e+09		1.66296		-1e+09		
SHELLQsJ0918+0139	139.6382083	1.65647219		23.817		23.1385		23.1511		-1000		-1000		0.259667	0.305226	0.670264	-1000		-1000		
SHELLQsJ0921+0007	140.3356667	0.1230278 		22.1367		21.2932		21.0914		-1000		20.3949		0.094886	0.100149	0.123516	-1000		0.103077		
SHELLQsJ1146+0124	176.70175  	1.4055833 		-1000		-1e+09		22.5033		-1e+09		-1000		-1000		-1e+09		0.314985	-1e+09		-1000		
SHELLQsJ1146-0005	176.745375 	-0.0938056		-1e+09		25.2742		23.4565		22.3199		22.6937		-1e+09		4.18531		0.619389	0.585418	0.630852		
SHELLQsJ1146-0154	176.636083302	-1.9106389		23.1972		-1000		22.3023		-1e+09		23.0652		0.308131	-1000		0.415949	-1e+09		0.992367		
SHELLQsJ1201+0133	180.262583302	1.5656667 		-1000		-1000		23.7672		22.5011		22.405		-1000		-1000		1.37532		0.497062	0.571125		
SHELLQsJ1208-0200	182.2467917	-2.0096667		22.5483		22.2759		21.939		22.7583		21.4154		0.116124	0.171708	0.175466	1.2545		0.199671		
SHELLQsJ1209-0006	182.3499583	-0.1129167		24.8425		-1e+09		23.8021		-1000		-1e+09		0.837997	-1e+09		0.749336	-1000		-1e+09		
