#survey qsoName              ra          dec        redshift   Z            errZ         Y             errY          J             errJ          H             errH          K             errK          unW1mag   unW1err   unW1snr    unW2mag   unW2err   unW2snr    w3mpro   w3sig   w3snr   w4mpro   w4sig   w4snr  
  UHS		J0439+1634        69.946166     16.5710277   6.51       -999.99999   -999.99999   -999.99999    -999.99999    17.472929     0.01174       -999.99999    -999.99999    -999.99999    -999.99999    13.9821   0.0051    212.3651   13.2759   0.009     120.1732   10.276   0.09    12.4    7.165    0.12    8.7    
  PSO		J071.4507-02.3332 71.45075      -2.33329     5.69       -999.99999   -999.99999   -999.99999    -999.99999    18.831545     0.077566      -999.99999    -999.99999    -999.99999    -999.99999    16.2425   0.0248    43.2436    15.6753   0.0565    18.7382    11.681   0.0     1.3     8.669    0.48    2.3    
  DELS		J0706+2921       106.609958    29.3515277   6.58       -999.99999   -999.99999   -999.99999    -999.99999    19.135956     0.045655      -999.99999    -999.99999    -999.99999    -999.99999    15.9408   0.022     48.8152    15.347    0.0464    22.9085    12.427   0.48    2.2     8.537    0.34    3.2    
  PSO		J108.4429+08.9257 108.4429416   8.9257369    5.92       -999.99999   -999.99999   -999.99999    -999.99999    19.068594     0.05126       -999.99999    -999.99999    -999.99999    -999.99999    16.0183   0.0231    46.452     15.123    0.0386    27.5979    12.528   0.54    2.0     8.303    0.0     1.1    
  SDSS		J0731+4459       112.76303     44.99707     5.01       -999.99999   -999.99999   -999.99999    -999.99999    18.871508     0.036173      -999.99999    -999.99999    -999.99999    -999.99999    15.9182   0.0201    53.456     15.386    0.0443    23.9944    11.792   0.25    4.4     8.309    0.0     1.7    
  SDSS		J0741+2520       115.478       25.3415694   5.19       -999.99999   -999.99999   18.456947     0.01603       18.302872     0.012232      17.912676     0.026998      17.708        0.023406      14.728    0.0086    125.4479   13.8709   0.0139    77.5181    11.59    0.24    4.5     8.373    0.34    3.2    
  SDWISE	J0747+1153     116.9549166   11.8979055   5.26       -999.99999   -999.99999   -999.99999    -999.99999    18.112371     0.014195      -999.99999    -999.99999    -999.99999    -999.99999    14.5937   0.0076    141.7307   13.7802   0.0127    85.0517    11.358   0.22    5.0     8.786    0.51    2.1    
  SDSS		J0756+4104       119.0755812   41.0690592   5.06       -999.99999   -999.99999   -999.99999    -999.99999    19.799793     0.06828       -999.99999    -999.99999    -999.99999    -999.99999    16.8361   0.0447    23.8204    16.139    0.0871    11.9701    11.856   0.0     1.7     8.629    0.0     1.1    
  DELS		J0803+3138       120.772583    31.6428333   6.38       -999.99999   -999.99999   -999.99999    -999.99999    20.19102      0.1043        -999.99999    -999.99999    -999.99999    -999.99999    16.9738   0.0527    20.115     16.4641   0.1229    8.3425     12.053   0.0     0.8     8.709    0.4     2.7    
  SDWISE	J0812+0440     123.2034166   4.6823722    5.29       -999.99999   -999.99999   -999.99999    -999.99999    19.638784     0.067697      -999.99999    -999.99999    -999.99999    -999.99999    16.3326   0.0301    35.6341    15.4131   0.0507    20.9344    12.436   0.0     -0.1    8.683    0.0     -0.7   
  SDSS		J0818+1722       124.6141845   17.3811127   6.02       -999.99999   -999.99999   -999.99999    -999.99999    19.087286     0.050107      -999.99999    -999.99999    -999.99999    -999.99999    15.6122   0.017     63.2628    14.8751   0.0316    33.8409    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDSS		J0824+1302       126.2250634   13.038049    5.15       -999.99999   -999.99999   -999.99999    -999.99999    19.419182     0.037462      -999.99999    -999.99999    -999.99999    -999.99999    16.5212   0.0367    29.0552    15.6192   0.0616    17.1252    11.942   0.0     1.1     8.156    0.0     1.5    
  ULAS		J0828+2633       127.0558622   26.565414    6.05       -999.99999   -999.99999   20.597654     0.045926      20.53066      0.056764      20.355648     0.24545       20.08387      0.170522      16.7144   0.0416    25.6121    16.0946   0.0886    11.7613    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  PSO		J127.2817+03.0657 127.2817406   3.0657009    5.85       -999.99999   -999.99999   21.04497      0.158892      20.968847     0.221206      20.197622     0.157422      20.1038       0.158448      17.4249   0.0712    14.7599    16.5593   0.1281    7.9863     12.447   0.0     0.0     8.5      0.0     0.7    
