NAME	Z	SOURCE      	NOTES
J085048.25+324647.90	5.867	Jiang15	SDSS
J020332.38+001229.20	5.86	Jiang08	SDSS; UKIDSS also claims (Venemans07); Leipski13
J032835.51-325322.92	5.86	Venemans15b	VIKING+KiDS
J121311.80-124603.50	5.86	Banados14	PANSTARRS
J083955.36+001554.2	5.86	Venemans15B	VIKING+KiDS
J140319.13+090250.90	5.86	Jiang15	SDSS
J120923.99-000646.50	5.86	Matsuoka18	SHELLQs
J000552.34-000655.80	5.850	Fan04	SDSS DR12
J142516.34+325409.57	5.85	Cool07	NDWFS
014057.03-114059.48	5.85	Banados16	PANSTARRS
082907.62+030356.52	5.85	Banados16	PANSTARRS
J124340.81+252923.90	5.85	Jiang16	SDSS, also Warren in prep?
J084035.09+562419.90	5.844	Fan06	SDSS
J140329.33-120034.10	5.84	Banados14	PANSTARRS
J114833.18+005642.3	5.84	Venemans15B	VIKING+KiDS
J121516.88+002324.7	5.84	Venemans15B	VIKING+KiDS
131052.75+253206.68	5.84	Banados16	PANSTARRS
J155000.93+431802.80	5.84	Matsuoka18	SHELLQs
115414.26-121117.48	5.83	Banados16	PANSTARRS
140911.38-155911.66	5.83	Banados16	PANSTARRS
160945.53-125854.11	5.83	Banados16	PANSTARRS
J143611.74+500706.90	5.83	Fan06	SDSS
J023930.24-004505.40	5.82	Jiang09	SDSS
154346.82+170028.46	5.82	Banados16	PANSTARRS
154509.90+163631.91	5.82	Banados16	PANSTARRS
J083643.85+005453.30	5.810	Fan01	SDSS
J214755.41+010755.30	5.81	Jiang09	SDSS
J114338.34+380828.70	5.81	Jiang16	SDSS
113910.09-121704.38	5.81	Banados16	PANSTARRS
155524.25-065351.59	5.81	Banados16	PANSTARRS
235118.96+062406.92	5.81	Banados16	PANSTARRS
001734.47+170510.70	5.80	Banados16	PANSTARRS
203355.91-273854.60	5.80	Banados16	PANSTARRS
J000239.39+255034.80	5.8	Fan04	SDSS
J104433.04-012502.20	5.8	Fan00	SDSS
J081054.32+510540.10	5.80	Jiang16	SDSS
012541.12-255256.24	5.79	Banados16	PANSTARRS
141455.90-132849.28	5.78	Banados16	PANSTARRS
J154552.08+602824.00	5.78	Wang16	SDSS-WISE
J161435.36+011444.79	5.78	Yang18	SDSS
J012958.51-003539.70	5.779	Jiang09	SDSS
J092721.82+200123.70	5.772	Fan06	SDSS
J232514.24+262847.60	5.77	Wang16	SDSS-WISE
112842.48+265312.00	5.77	Banados16	PANSTARRS
122825.15-023339.25	5.77	Banados16	PANSTARRS
000121.63+265009.17	5.75	Banados16	PANSTARRS
132741.32+573238.37	5.74	Banados16	PANSTARRS
J142036.30-160230.20	5.73	Morganson11	PANSTARRS, Banados14
212328.88-242137.44	5.73	Banados16	PANSTARRS
003725.76-080708.46	5.72	Banados16	PANSTARRS
135649.41-264230.23	5.72	Banados16	PANSTARRS
J162100.92+515548.86	5.71	Jiang16	Wang08 as a faint LAE with no spectrum; SDSS
J030044.18-223227.20	5.7	Banados14	PANSTARRS
J114816.21+525339.30	5.7	Mahabal05	LRIS (Keck I)
