# RA         Dec         redshift  unW1mag   unW1err unW1snr    unW2mag   unW2err unW2snr    w3mpro    w3sig   w3snr  w4mpro   w4sig   w4snr
133.6265512  20.9474547  5.170     16.2390   0.0274  39.0956    15.4875   0.0555  19.0652    11.648    0.00    1.9    8.842    0.00   -1.2  
134.4105416   0.9368611  6.350    -99.9990  -9.9900 -99.9990   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
134.5562917   0.0158611  5.990     18.3912   0.1672   6.0078   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
134.7799583   0.3821944  6.390    -99.9990  -9.9900 -99.9990   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
135.3860431  16.2518985  5.630     17.6226   0.0938  11.0815   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
135.6906706   8.8544229  5.210     16.7495   0.0428  24.8876    15.8551   0.0721  14.5696    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
135.7286250   1.9196944  6.010    -99.9990  -9.9900 -99.9990   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
135.8111666   2.1911944  5.920    -99.9990  -9.9900 -99.9990   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
135.8704568 -13.8336863  5.910     17.3588   0.0678  15.5158    16.4681   0.1124   9.1678    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
136.4360416   3.0163333  6.270    -99.9990  -9.9900 -99.9990   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
136.6281250  69.5085555  5.470     16.6990   0.0335  31.8952    15.8171   0.0557  18.9834    12.692    0.49    2.2    8.628    0.00    1.4  
137.3395833   4.6785833  6.150    -99.9990  -9.9900 -99.9990   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
137.5567910  16.9416111  6.720     17.5037   0.0821  12.7327   -99.9990  -9.9900 -99.9990    12.411    0.00    0.3    9.059    0.00    0.0  
137.7272080  -4.2352222  6.630     16.8579   0.0433  24.5681    15.9898   0.0748  14.0162    12.314    0.00    0.3    9.134    0.00   -0.9  
137.8094583   1.8720556  6.070    -99.9990  -9.9900 -99.9990   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
138.3189635  59.3226888  5.120     17.0770   0.0498  21.3165   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
138.9318420  49.4046241  5.190     16.4674   0.0307  34.8542    15.6236   0.0539  19.6502    12.421    0.44    2.5    8.807    0.00    0.5  
