# na        desig               ra_2           dec_2          redshift   Z         errZ       Y         errY       J         errJ       H         errH       K          errK      
  SHELLQs   J0844-0052          131.1316666    -0.88183333    6.25       23.3427   0.346504   23.772    1.07946    23.0537   0.629424   23.3739   2.14109    22.4899    0.893071  
  SHELLQs   J0844-0132          131.035875     -1.5379167     6.18       24.1325   0.515474   23.4855   0.564391   23.0393   0.462365   22.8092   1.00149    -1.0E9     -1.0E9    
  SHELLQs   J0853+0139          133.4535       1.65305555     6.01       23.4894   0.280974   23.6557   0.655517   23.8616   1.0847     22.4403   0.627114   -1.0E9     -1.0E9    
  SHELLQs   J0857+0056          134.4105416    0.93686111     6.35       24.6083   0.588486   23.8412   1.02544    23.8111   0.919334   25.8001   6.99168    23.2623    1.16866   
  SHELLQs   J0858+0000          134.5562917    0.0158611      5.99       21.7221   0.047664   -1000.0   -1000.0    21.2957   0.130832   20.9886   0.105946   20.9488    0.142316  
  SHELLQs   J0902+0155          135.728625     1.91969444     6.01       24.2383   0.445293   25.9623   4.84416    22.9069   0.406374   23.3342   1.0647     -1.0E9     -1.0E9    
  SHELLQs   J0903+0211          135.8111666    2.19119444     5.92       23.8853   0.302808   23.6452   0.49687    23.9341   0.85263    22.8477   0.686847   24.6193    3.30959   
  SHELLQs   J0905+0300          136.4360416    3.01633333     6.27       23.8087   0.538732   -1.0E9    -1.0E9     22.1842   0.466389   21.3649   0.311837   21.9504    0.544996  
  SHELLQs   J0911+0152          137.8094583    1.87205555     6.07       -1.0E9    -1.0E9     -1.0E9    -1.0E9     -1.0E9    -1.0E9     24.2805   1.66296    -1.0E9     -1.0E9    
  SHELLQs   J0918+0139          139.6382083    1.6564722      6.19       23.817    0.259667   23.1385   0.305226   23.1511   0.670264   -1000.0   -1000.0    -1000.0    -1000.0   
  SHELLQs   J0921+0007          140.3356667    0.1230278      6.56       22.1367   0.094886   21.2932   0.100149   21.0914   0.123516   -1000.0   -1000.0    20.3949    0.103077  
  SHELLQs   J1146+0124          176.70175      1.4055833      6.27       -1000.0   -1000.0    -1.0E9    -1.0E9     22.5033   0.314985   -1.0E9    -1.0E9     -1000.0    -1000.0   
  SHELLQs   J1146-0005          176.745375     -0.0938056     6.3        -1.0E9    -1.0E9     25.2742   4.18531    23.4565   0.619389   22.3199   0.585418   22.6937    0.630852  
  SHELLQs   J1146-0154          176.6360833    -1.9106389     6.16       23.1972   0.308131   -1000.0   -1000.0    22.3023   0.415949   -1.0E9    -1.0E9     23.0652    0.992367  
  SHELLQs   J1201+0133          180.2625833    1.56566667     6.06       -1000.0   -1000.0    -1000.0   -1000.0    23.7672   1.37532    22.5011   0.497062   22.405     0.571125  
  SHELLQs   J1208-0200          182.24679167   -2.00966667    6.2        22.5483   0.116124   22.2759   0.171708   21.939    0.175466   22.7583   1.2545     21.4154    0.199671  
  SHELLQs   J1209-0006          182.3499583    -0.1129167     5.86       24.8425   0.837997   -1.0E9    -1.0E9     23.8021   0.749336   -1000.0   -1000.0    -1.0E9     -1.0E9    
  SHELLQs   J1219+0050          184.77225      0.84375        6.01       -1000.0   -1000.0    -1000.0   -1000.0    22.0703   0.327022   -1000.0   -1000.0    -1000.0    -1000.0   
  SHELLQs   J1400-0011          210.1199583    -0.1976389     6.04       24.171    0.632566   23.6781   0.739849   22.348    0.287432   -1.0E9    -1.0E9     23.5305    3.40893   
  SHELLQs   J1400-0125          210.1249583    -1.4225        6.04       23.4412   0.270766   22.7836   0.300766   22.6969   0.298625   22.2687   0.399633   22.1179    0.41593   
  SHELLQs   J1406-0116          211.6213333    -1.2697778     6.33       23.0588   0.1261     22.097    0.108694   21.8137   0.097828   21.9319   0.234002   21.7753    0.221697  
  SHELLQs   J1406-0144          211.6953333    -1.7340556     6.1        23.8953   0.332082   -1.0E9    -1.0E9     22.6713   0.260375   22.5997   0.510522   22.6011    0.624952  
  SHELLQs   J1414+0130          213.66475      1.51013888     5.94       22.748    0.134708   23.1111   0.391474   23.9389   0.959899   24.0824   3.04451    23.8178    2.42698   
  SHELLQs   J1416+0015          214.05295833   0.26283333     6.03       -1.0E9    -1.0E9     24.1534   1.23775    24.1348   1.1399     -1000.0   -1000.0    -1000.0    -1000.0   
  SHELLQs   J1416+0147          214.220875     1.7839444      6.07       23.557    0.271175   23.8725   0.752955   23.2417   0.487681   22.3189   0.502502   -1.0E9     -1.0E9    
  SHELLQs   J1417+0117          214.36945833   1.28677778     6.02       24.4007   0.589144   23.4602   0.512464   23.7178   0.739754   21.9093   0.326018   -1.0E9     -1.0E9    
  SHELLQs   J1422+0011          215.5009583    0.1841667      5.89       24.5896   0.877529   -1000.0   -1000.0    22.6579   0.511949   -1000.0   -1000.0    25.7726    10.3407   
  SHELLQs   J1423-0018          215.882125     -0.30252778    6.13       24.1276   0.500189   -1.0E9    -1.0E9     24.8472   2.2973     23.4898   1.80062    23.8241    2.42921   
  SHELLQs   J1425-0015          216.32383333   -0.26136111    6.18       22.8933   0.155353   23.8614   0.815974   23.4547   0.673543   23.8723   2.15354    22.1163    0.469411  
  SHELLQs   J1429-0002          217.29258333   -0.03538889    6.04       -1.0E9    -1.0E9     27.1226   22.9341    -1.0E9    -1.0E9     -1.0E9    -1.0E9     -1.0E9     -1.0E9    
  SHELLQs   J1429-0104          217.26283333   -1.07872222    6.8        -1.0E9    -1.0E9     -1.0E9    -1.0E9     -1.0E9    -1.0E9     23.8167   2.01726    23.0409    1.073     
  SHELLQs   J1440-0107          220.00541666   -1.11727778    6.13       -1.0E9    -1.0E9     22.9705   0.417649   24.8546   2.09133    23.2736   0.833998   22.4115    0.496242  
