# na	desig	ra	dec	redshift	Z	errZ	Y	errY	J	errJ	H	errH	K	errK	unW1mag	unW1err	unW1snr	unW2mag	unW2err	unW2snr	w3mpro	w3sig	w3snr	w4mpro	w4sig	w4snr
SDSS	J0221-0342B	35.3025416	-3.7145	5.01999998093	19.404014576	0.0112590352073	19.4077682385	0.0242769047618	19.479832372	0.00472130758528797	19.1300887756	0.0296450480819	19.1025112908	0.004462286998130597	16.3099365234	0.0279948208481	38.2856864929	15.7013397217	0.0606133081019	17.4171638489	12.2729997635	-999999488.0	1.60000002384	8.92800045013	-999999488.0	0.899999976158
CFHQS	J0221-0802	35.344625	-8.0476388	6.16099977493	-999999500.0	-999999500.0	-999999500.0	-999999500.0	22.1022548676	0.23924317956	-999999500.0	-999999500.0	21.0364131927	0.246346116066	18.0483779907	0.118376493454	8.68097019196	17.0535640717	0.186510592699	5.33562135696	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0
VDES	J0224-4711	36.11057	-47.19149	6.5	-999999500.0	-999999500.0	-999999500.0	-999999500.0	19.7277393341	0.0475318878889	19.4471702576	0.0656074732542	18.938117981	0.0492467693985	16.114233017	0.0187163837254	57.5114212036	15.4213895798	0.0363622196019	29.3616580963	12.7270002365	-999999488.0	0.40000000596	9.11999988556	-999999488.0	0.300000011921
PSO	J036.5078+03.0498	36.50780677	3.04983831	6.54120016098	-999999500.0	-999999500.0	19.4453105927	0.0574641264975	19.3958435059	0.0940298810601	19.3021526337	0.0882194563746	19.2842788696	0.0872125700116	16.6573963165	0.0382166132331	27.9129886627	16.1818218231	0.0929569527507	11.1871175766	12.029999733	-999999488.0	2.0	8.94299983978	-999999488.0	0.300000011921
CFHQS	J0227-0605	36.930375	-6.0917222	6.19999980927	22.2103347778	0.113502822816	22.0917758942	0.210537448525	21.9282646179	0.182880699635	21.9447174072	0.267801940441	21.4866886139	0.226341411471	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0
SDSS	J0230+0046	37.5094583	0.77966666	5.40999984741	21.7690276985	0.095456816256	21.59639959	0.09992839498697106	21.4492128419	0.07456984841595359	21.3381142622	0.10867952159478002	21.4618135379	0.15250899734916676	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0
SDSS	J0231-0728	37.9068333	-7.48177777	5.36999988556	-999999500.0	-999999500.0	-999999500.0	-999999500.0	19.2098808289	0.0293736476451	-999999500.0	-999999500.0	18.7681827545	0.053648211062	15.9863967896	0.0202498026192	53.11876297	15.0055360794	0.0315622389317	33.9022216797	12.0979995728	-999999488.0	1.89999997616	9.1829996109	-999999488.0	0.600000023842
PSO	J037.9706-28.8389	37.970657	-28.838911	6.0	20.7366924286	0.0588534325361	20.9907436371	0.127759829164	21.0901069641	0.152041494846	20.9613685608	0.199310511351	20.5116577148	0.186274573207	17.6440029144	0.0785820111632	13.3226261139	16.7486782074	0.134714126587	7.56989574432	11.9370002747	-999999488.0	2.0	8.67000007629	-999999488.0	1.10000002384
SHELLQs	J0235-0532	38.92675	-5.54488889	6.09000015259	-999999500.0	-999999500.0	-999999500.0	-999999500.0	-999999488.0	-999999488.0	23.6555919647	2.04011273384	22.5631256104	1.08566963673	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0
SDSS	J0239-0045	39.876	-0.7514999	5.82000017166	-999999500.0	-999999500.0	21.2804622812	0.436191290617	22.1372311596	0.2413512965814797	21.5814819076	0.27834989414793937	21.6262147031	0.3323245015658861	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0
