no,l,b,RA_1,DEC_1,RA(hms),DEC(dms),Name,Class,Rmag,B/Gmag,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,redshift,citation,redshift_citation,Xname,Rname,FIRST____flux(mJy),NVSS____flux(mJy),VLBI_flux__1.4GHz(mJy),VLBI_flux__1.6GHz(mJy),VLBI_flux__1.7GHz(mJy),VLBI_flux__2.3GHz(mJy),VLBI_flux__3GHz(mJy),VLBI_flux__4.3GHz(mJy),VLBI_flux__4.9GHz(mJy),VLBI_flux_5GHz(mJy),VLBI_flux__7.6GHz(mJy),VLBI_flux__8.3(mJy),VLBI_flux__8.4(mJy),VLBI_flux___8.6GHz(mJy),VLBI_flux__15GHz(mJy),VLBI_flux_22GHz(mJy),VLBI_flux__43GHz(mJy),VLBI_reference,notes
1581,311.834301,,65.230511,2.616372,13 06 19.39,+02 36 58.94,SDSS~J130619.39+023658.9,Q,21.4,23.9,23.02,23.91,21.42,19.66,19.26,0.41,0.37,0.07,0.03,0.07,4.8,2017A&A...597A..79P,2017A&A...597A..79P,,,0.138*,,,,,,,,,,,,,,,,,,
1582,102.696121,,81.143248,35.388377,13 06 25.17,+35 23 18.16,SDSS~J130625.16+352318.1,Q,21.6,24,25.03,23.97,21.64,21.82,20.9,0.84,0.28,0.07,0.12,0.18,4.439,2012A&A...548A..66P,2017A&A...597A..79P,,,0.149*,,,,,,,,,,,,,,,,,,
1583,320.502477,,77.365817,15.032186,13 07 07.14,+15 01 55.87,SDSS~J130707.14+150155.8,Q,20.1,22.4,24.92,22.43,20.14,20.07,19.95,0.83,0.1,0.02,0.03,0.09,4.109,2007AJ....134..102S,2017A&A...597A..79P,,,0.133*,,,,,,,,,,,,,,,,,,
1584,114.516682,,70.776553,46.090432,13 07 22.44,+46 05 25.56,SDSS~J130722.44+460525.5,Q,20.5,22.2,25.71,22.15,20.48,19.94,20.01,0.68,0.09,0.04,0.03,0.11,4.412,2017A&A...597A..79P,2017A&A...597A..79P,,,0.146*,,,,,,,,,,,,,,,,,,
1585,321.191339,,77.424561,15.131140,13 07 38.83,+15 07 52.11,SDSS~J130738.83+150752.1,QR,19.8,21,24.68,21,19.75,19.54,19.5,0.91,0.03,0.03,0.03,0.08,4.08,2017A&A...597A..79P,2017A&A...597A..79P,,FIRST J130738.8+150752,3.89,,,,,,,,,,,,,,,,,,"EVN proposal code:EG095, E17C009"
1586,119.687859,,54.158503,62.864655,13 08 06.18,+62 51 52.76,SDSS~J130806.17+625152.7,Q,19.7,21.9,23.34,22.28,20.48,20.27,20.25,0.58,0.08,0.03,0.04,0.13,4.18,2017A&A...597A..79P,2017A&A...597A..79P,,,0.143*,,,,,,,,,,,,,,,,,,
1587,118.361062,,60.033002,56.946428,13 08 10.75,+56 56 47.14,SDSS~J130810.74+565647.1,Q,19.4,21.8,23.09,21.58,19.51,19.15,18.75,0.44,0.05,0.02,0.02,0.04,4.04,2017A&A...597A..79P,2017A&A...597A..79P,,,0.148*,,,,,,,,,,,,,,,,,,
1588,322.211023,,76.958781,14.753299,13 09 06.75,+14 45 11.87,SDSS~J130906.75+144511.8,Q,20.6,22.2,25.64,22.21,20.55,20.33,20.46,0.68,0.09,0.04,0.04,0.21,4.116,2014A&A...563A..54P,2017A&A...597A..79P,,,0.137*,,,,,,,,,,,,,,,,,,
1589,325.954186,,79.031796,16.966248,13 09 17.13,+16 57 58.49,SDSS~J130917.13+165758.4,Q,20.6,22.4,25.49,22.4,20.59,18.95,18.78,0.48,0.08,0.03,0.02,0.04,4.71,2017A&A...597A..79P,2017A&A...597A..79P,,,0.141*,,,,,,,,,,,,,,,,,,
1590,118.124356,,59.404898,57.552767,13 09 40.70,+57 33 09.96,FIRST~J13096+5733,QRX,19.2,22,23.03,21.48,19.56,19.55,19.52,0.42,0.06,0.02,0.03,0.06,4.281,2002MNRAS.329..221B,2017A&A...597A..79P,CXOX J130940.6+573310,FIRST J130940.6+573310,11.33,,,,,,,,,,,,,,,,,,"EVN proposal code:EG095, E17C009"
