# no     l            b            RA_1         DEC_1        RA(hms)        DEC(dms)       Name                                       Class   Rmag    B/Gmag   psfMag_u   psfMag_g   psfMag_r   psfMag_i   psfMag_z   psfMagErr_u   psfMagErr_g   psfMagErr_r   psfMagErr_i   psfMagErr_z   redshift   citation                               redshift_citation     Xname                   Rname                    FIRST____flux(mJy)   NVSS____flux(mJy)   VLBI_flux__1.4GHz(mJy)   VLBI_flux__1.6GHz(mJy)   VLBI_flux__1.7GHz(mJy)   VLBI_flux__2.3GHz(mJy)   VLBI_flux__3GHz(mJy)   VLBI_flux__4.3GHz(mJy)   VLBI_flux__4.9GHz(mJy)   VLBI_flux_5GHz(mJy)   VLBI_flux__7.6GHz(mJy)   VLBI_flux__8.3(mJy)   VLBI_flux__8.4(mJy)   VLBI_flux___8.6GHz(mJy)   VLBI_flux__15GHz(mJy)   VLBI_flux_22GHz(mJy)   VLBI_flux__43GHz(mJy)   VLBI_reference                                                                                                              notes                                  
  1224   150.085289   ""           62.723199    50.1925      "11 35 09.93"  "+50 11 33.0"  "DELS J113508.93+501133.0"                 Q       ""      ""       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.58       2018arXiv181011926W                    2018arXiv181011926W   ""                      ""                       0.147*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  423    187.679864   ""           15.917341    29.35153     "07 06 26.39"  "+29 21 05.5"  "DELS J070626.39+292105.5"                 Q       ""      ""       24.96      23.83      24.09      23.39      20.35      0.87          0.35          0.56          0.46          0.13          6.58       2018arXiv181011926W                    2018arXiv181011926W   ""                      ""                       -1                   0.0                 ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  717    232.077888   ""           32.852268    0.123028     "09 21 20.56"  "+00 07 22.9"  J0921+0007                                 Q       ""      ""       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.56       2018MNRAS.478.1649C                    2018MNRAS.478.1649C   ""                      ""                       0.148*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  283    163.707101   -52.17019    36.507792    3.049839     "02 26 01.87"  "+03 02 59.42" PSO~J036.5078+03.0498                      Q       24.4    24.99    25.27      24.8       24.38      23.54      20.7       0.78          0.43          0.44          0.46          0.15          6.5412     2015ApJ...801L..11V                    2015ApJ...804..118B   ""                      ""                       0.137*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  406    181.523692   -19.478857   69.946167    16.571028    "04 39 47.08"  "+16 34 15.7"  J043947.08+163415.7                        Q       ""      ""       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.51       2019ApJ...870L..11F                    2019ApJ...870L..11F   ""                      ""                       -1                   0.0                 ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  1133   268.697751   ""           42.572052    -13.496      "11 10 33.98"  "-13 29 45.60" PSO~J167.6415-13.4960                      Q       >23.2   >23.3    ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.508      2015ApJ...801L..11V                    2015ApJ...801L..11V   ""                      ""                       -1                   0.0                 ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  2214   68.161272    ""           51.687325    42.536556    "15 45 05.62"  "+42 32 11.6"  J1545+4232                                 Q       ""      ""       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.5        2018MNRAS.478.1649C                    2018MNRAS.478.1649C   ""                      ""                       0.148*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  282    266.857603   -62.897838   36.11057     -47.19149    "02 24 26.54"  "-47 11 29.4"  VDESJ0224-4711                             Q       23.35   23.47    ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.5        2017MNRAS.468.4702R                    2017MNRAS.468.4702R   ""                      ""                       -1                   -1.0                ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  2376   42.246911    ""           41.206984    24.12767     "16 29 11.29"  "+24 07 39.6"  "PSO J247.2970+24.1277"                    Q       ""      ""       25.46      23.98      25.05      24.28      20.83      0.66          0.5           0.52          0.49          0.15          6.476      2017ApJ...849...91M                    2017ApJ...849...91M   ""                      ""                       0.144*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  2514   356.48574    -46.695317   322.792875   -43.984167   "21 31 10.29"  "-43 59 02.5"  DES~J213110.29-435902.5                    Q       ""      ""       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.45       2018arXiv181111915Y                    2018arXiv181111915Y   ""                      ""                       -1                   -1.0                ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  2705   15.94173     -69.303228   349.576463   -31.229542   "23 18 18.351" "-31 13 46.35" VIK~2318-3113                              Q       ""      ""       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.444      "Venemans in prep."                    2018ApJ...854...97D   ""                      ""                       -1                   0.0                 ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  1276   143.210634   ""           61.706563    52.863975    "11 48 16.65"  "+52 51 50.31" SDSS~J114816.64+525150.3                   QX      25      25.7     24.25      25.02      24.46      23.32      20.15      0.76          0.54          0.55          0.42          0.1           6.44       2017A&A...597A..79P                    2017A&A...597A..79P   "3XMM J114816.3+525151" ""                       0.138*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  245    166.654452   -60.934961   32.555       -4.939167    "02 10 13.20"  "-04 56 21.00" CFHQS~J021013-045620                       Q       22.6    0        ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.438      2010AJ....140..546W                    2010AJ....140..546W   ""                      ""                       0.144*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  2720   80.149415    -58.890293   352.284722   -3.033056    "23 29 08.33"  "-03 01 59.00" CFHQS~J23291-0301                          Q       21.6    0        ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.43       2007AJ....134.2435W                    2007AJ....134.2435W   ""                      ""                       0.414*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  867    237.020962   ""           43.105506    2.658528     "10 04 01.36"  "+02 39 30.7"  J1004+0239                                 Q       ""      ""       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.41       2018MNRAS.478.1649C                    2018MNRAS.478.1649C   ""                      ""                       0.15*                ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
