# qsoName,qsoID,ra,dec,filterID,aperMag3AverAB,aperMag3Err,ppErrBits
               SHELLQsJ0957+0053,                 158,    +149.4182917,      +0.8926667,   4,    +24.481728,     +4.712328,          0
               SHELLQsJ0957+0053,                 158,    +149.4182917,      +0.8926667,   5,    +23.445024,     +2.151775,          0
                  SDSSJ0958+3524,                 159,    +149.5584510,     +35.4135633,   3,    +20.945122,     +0.219180,          0
                  SDSSJ0959+0227,                 160,    +149.7837500,      +2.4520444,   2,    +25.642792,     +0.819971,          0
                  SDSSJ0959+0227,                 160,    +149.7837500,      +2.4520444,   3,    +24.149122,     +0.233055,          0
                  SDSSJ0959+0227,                 160,    +149.7837500,      +2.4520444,   4,    +23.898922,     +0.387561,          0
                  SDSSJ0959+0227,                 160,    +149.7837500,      +2.4520444,   5,    +23.583720,     +0.444212,          0
                  SDSSJ0959+0227,                 160,    +149.7837500,      +2.4520444,   6, -9.999995E008, -9.999995E008,          0
                  SDSSJ0959+0227,                 160,    +149.7837500,      +2.4520444,   9, -1.999999E009, -9.999995E008,          0
                  SDSSJ0959+0227,                 160,    +149.7837500,      +2.4520444,  10, -1.999999E009, -9.999995E008,          0
                  SDSSJ1000+2103,                 161,    +150.1823993,     +21.0574094,   3,    +19.629187,     +0.079228,          0
                  SDSSJ1000+0234,                 162,    +150.2145833,      +2.5826333,   2,    +27.074327,     +2.774180,          0
                  SDSSJ1000+0234,                 162,    +150.2145833,      +2.5826333,   3,    +30.276796, -9.999995E008,          0
                  SDSSJ1000+0234,                 162,    +150.2145833,      +2.5826333,   4,    +29.153927, -9.999995E008,          0
                  SDSSJ1000+0234,                 162,    +150.2145833,      +2.5826333,   5, -9.999995E008, -9.999995E008,          0
                  SDSSJ1000+0234,                 162,    +150.2145833,      +2.5826333,   6, -9.999995E008, -9.999995E008,          0
                  SDSSJ1000+0234,                 162,    +150.2145833,      +2.5826333,   9, -1.999999E009, -9.999995E008,          0
                  SDSSJ1000+0234,                 162,    +150.2145833,      +2.5826333,  10, -1.999999E009, -9.999995E008,          0
               SHELLQsJ1004+0239,                 163,    +151.0056667,      +2.6585278,   2,    +23.270071,     +0.887770,          0
