#RA           Dec   redshift  unW1_mag unW1_magerr unW1_snr  w1mpro w1sigmpro  w1snr  
182.2467917  -2.0096667  6.200    18.1595   0.1379   7.3812    -9.990   -9.99   -9.9
182.3499583  -0.1129167  5.860    17.4358   0.0755  13.8873    17.216    0.15    7.4
182.4697093  18.5297808  5.150    16.2826   0.0273  39.3027    16.108    0.06   17.6
183.1124208   5.0926361  6.440    16.9640   0.0496  21.3921    16.966    0.13    8.4
183.2991900 -12.7676240  5.860    16.2643   0.0288  37.2068    16.284    0.07   14.9
183.8202986   0.3901834  5.930   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
184.1149160  45.3196388  6.650    17.3298   0.0558  18.9669    17.273    0.13    8.6
184.3389334   1.5284636  6.200    17.8362   0.1070   9.6579    17.581    0.21    5.2
184.5466240  18.1307055  5.300    17.1902   0.0590  17.9046    17.354    0.15    7.1
184.7722500   0.8437500  6.010   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
185.4434197  44.7577911  5.190    16.3625   0.0246  43.6976    16.304    0.06   17.6
185.6581819  19.9785907  5.130    16.3726   0.0289  37.0294    16.429    0.08   13.8
187.1047900  -2.5609033  5.770    18.3158   0.1620   6.2145    17.187    0.14    7.9
187.3050336   4.3243745  5.890   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
188.3894733   6.3761650  5.300    16.4516   0.0366  29.1440    14.461    0.03   32.7
189.0252080  46.9569805  5.550    16.5065   0.0284  37.8028    16.450    0.07   15.9
189.1998333  62.1615556  5.190   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
190.6996629  52.2185331  5.040    16.4217   0.0246  43.6900    16.539    0.07   15.6
190.9200541  25.4899697  5.830    16.4669   0.0300  35.6918    16.701    0.09   12.4
192.7163615  31.5060828  6.150    16.3981   0.0276  38.8641    16.414    0.07   16.4
194.1290326  25.5476238  5.910    16.9980   0.0461  23.0361    16.197    0.06   18.9
194.4894807  63.8269894  6.020    16.9440   0.0358  29.7969    16.911    0.08   13.2
196.5344701   3.9406556  6.020    16.9620   0.0514  20.6347    16.869    0.10   11.0
197.7198013  25.5351885  5.840    17.3774   0.0618  17.0687    17.577    0.17    6.4
198.6683740  54.5436694  5.520    16.5861   0.0277  38.7284    16.690    0.08   14.2
199.0339160  10.4757777  6.350    16.5428   0.0334  32.0419    16.751    0.09   12.1
199.3365833  -2.6536111  5.250    17.3736   0.0716  14.6756    17.181    0.12    8.8
199.7970850   9.8476434  6.130    16.9048   0.0420  25.3555    17.031    0.10   10.3
201.9221762  57.5439929  5.740    17.2774   0.0466  22.8275    17.375    0.12    8.8
203.2393749  22.1433083  5.110    15.6000   0.0143  75.1446    15.692    0.05   23.2
203.5523482  12.3390862  5.120    16.5575   0.0331  32.2665    16.684    0.09   12.0
203.9617127  35.5543943  5.900    16.7081   0.0327  32.7056    16.714    0.07   15.6
203.9843333  -3.4772778  5.670    15.6339   0.0168  64.2093    15.377    0.04   28.1
204.3700420  41.9277372  5.030    16.6567   0.0306  34.9453    16.571    0.07   15.0
205.0626338  39.4418596  5.030    16.2507   0.0225  47.6679    16.092    0.05   22.6
205.1676667  28.2244889  5.340    16.0776   0.0200  53.7939    16.125    0.06   19.4
205.4227500  46.1861944  5.020    17.0302   0.0449  23.7126    17.079    0.11   10.0
205.4750816  35.1682539  5.230    16.3752   0.0255  42.1017    16.289    0.06   18.8
205.5337500   9.4773889  7.540    17.6247   0.0797  13.1330    17.471    0.15    7.4
206.3609268  23.4970482  5.060    15.6542   0.0147  73.2285    15.479    0.04   30.4
209.2058560 -26.7083970  5.720    16.6243   0.0383  27.8640    16.292    0.06   17.3
209.4472500  53.0951389  5.320    17.6846   0.0711  14.7792    -9.990   -9.99   -9.9
210.1199583  -0.1976389  6.040   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
210.1249583  -1.4225000  6.040   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
210.4472342  27.8263983  6.140    17.5330   0.0696  15.1164    17.562    0.16    6.9
210.4581667  51.7195278  5.170   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
210.7277720  40.4008853  6.040    17.9236   0.0920  11.3046    -9.990   -9.99   -9.9
210.8297035   9.0474981  5.880    17.2356   0.0579  18.2702    17.284    0.12    8.7
210.8722200 -12.0094820  5.840    18.0399   0.1305   7.8326    -9.990   -9.99   -9.9
211.6213333  -1.2697778  6.330   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
211.6953333  -1.7340556  6.100   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9
212.0955000  53.0058055  5.070    17.8780   0.0803  13.0304    17.749    0.16    6.8
