#na desig		ra_hms	    dec_dms	   	  ra		 dec		redshift	
SDSS J1257+6349         12:57:57.47 +63:49:37.20	194.48948070	 63.82698942	6.02	
SDSS J1306+0356         13:06:08.26 +03:56:26.30	196.53447010	  3.94065562	6.0337	
PS1 J1310-0639		13:10:13.11 -06:39:51.56 	197.5546250      -6.6643222 	5.06	
PSO J197.7198+25.5351   13:10:52.75 +25:32:06.68	197.71980130	 25.53518849	5.840	
PS1 J1313-2617		13:13:26.06 -26:17:21.83 	198.3585833     -26.2893972	5.54	
SDSS J1314+5432 	13:14:40.41 +54:32:37.21	198.668374   	 54.5436694	5.52
DELS J1316+1028 	13:16:08.14 +10:28:32.8  	199.033916   	 10.4757777	6.35
SUVAW J1317-0239	13:17:20.78 -02:39:13.0	       	199.33658333     -2.65361111	5.25	
ULAS J1319+0950         13:19:11.29 +09:50:51.40	199.79708500	  9.84764345	6.133 	
PSO J201.9222+57.5440   13:27:41.32 +57:32:38.37	201.92217620	 57.54399285	5.740 	
SDWISE J1332+2208  	13:32:57.45 +22:08:35.91   	203.2393749  	 22.1433083	5.11   	
SDSS J1334+1220		13:34:12.56 +12:20:20.7	       	203.55234824	 12.33908622	5.12	
SDSS J1335+3533         13:35:50.81 +35:33:15.80	203.96171270	 35.55439429	5.9012 	
SUVAW J1335-0328	13:35:56.24 -03:28:38.2	       	203.98433333     -3.47727777	5.67	
SDSS J1337+4155		13:37:28.81 +41:55:39.8	       	204.37004203	 41.92773724	5.033	
SDSS J1340+3926		13:40:15.03 +39:26:30.6	       	205.06263381	 39.44185963	5.03	
SDSS J1340+2813		13:40:40.24 +28:13:28.1	       	205.16766666	 28.22448888	5.338	
SDSS J1341+4611		13:41:41.46 +46:11:10.3	       	205.42274999  	 46.18619444	5.023	
SDSS J1341+3510		13:41:54.01 +35:10:05.7	       	205.47508160	 35.16825393	5.23	
ULAS J1342+0928		13:42:08.10 +09:28:38.61	205.53375000	  9.47738888	7.54   	
SDSS J1345+2329		13:45:26.62 +23:29:49.3	       	206.36092677	 23.49704816	5.062	
PSO J209.2058-26.7083   13:56:49.41 -26:42:30.23	209.20585600	-26.70839700	5.720	
MMT J1357+5305		13:57:47.34 +53:05:42.5	       	209.44724999	 53.09513888	5.32	
SHELLQs J1400-0011 	14:00:28.79 -00:11:51.5		210.1199583      -0.1976389	6.04 	
SHELLQs J1400-0125 	14:00:29.99 -01:25:21.0		210.1249583      -1.4225000	6.04 	
PSO J210.4472+27.8263   14:01:47.34 +27:49:35.03	210.44723420	 27.82639831	6.140
IMS J1401+5143		14:01:49.96 +51:43:10.3		210.4581667      51.7195278	5.17	
PSO J210.7277+40.4008   14:02:54.67 +40:24:03.19	210.72777200	 40.40088527	6.040 	
PSO J210.8297+09.0474   14:03:19.13 +09:02:50.90	210.82970350	  9.04749814	5.880	
PSO J210.8722-12.0094   14:03:29.33 -12:00:34.10	210.87222000	-12.00948200	5.840	
SHELLQs J1406-0116 	14:06:29.12 -01:16:11.2		211.6213333      -1.2697778	6.33 	
SHELLQs J1406-0144 	14:06:46.88 -01:44:02.6		211.6953333      -1.7340556	6.10 	
MMT J1408+5300		14:08:22.92 +53:00:20.9	       	212.09549999	 53.00580555	5.07	
PSO J212.2974-15.9865   14:09:11.38 -15:59:11.66	212.29743370	-15.98657168	5.830	
SDSS J1411+1217         14:11:11.29 +12:17:37.40	212.79703330	 12.29368966	5.904	
PSO J213.3629-22.5617   14:13:27.11 -22:33:42.20	213.36299000	-22.56173700	5.920	
MMT J1414+5115		14:14:04.36 +51:15:35.8	       	213.51816666	 51.25994444	5.24	
MMT J1414+5732		14:14:31.57 +57:32:34.1	       	213.63154166	 57.54280555	5.16
SHELLQs J1414+0130	14:14:39.54 +01:30:36.50	213.66475000      1.51013888	5.94	
MMT J1414+5446		14:14:46.82 +54:46:31.8	       	213.69508333	 54.7755000 	5.42   	
PSO J213.7329-13.4803   14:14:55.90 -13:28:49.28	213.73292250	-13.48035431	5.780
SHELLQs J1416+0015  	14:16:12.71 +00:15:46.20	214.05295833	  0.26283333	6.03    
SHELLQs J1416+0147 	14:16:53.01 +01:47:02.2		214.2208750       1.7839444	6.07 	
SHELLQs J1417+0117	14:17:28.67 +01:17:12.40	214.36945833	  1.28677778	6.02    
SDSS J141912.03+53      14:19:12.03 +53:40:39.2	        214.800131	 53.6775646	5.38		
MMT J1419+5553		14:19:56.49 +55:53:16.2	       	214.98537499	 55.88783333	5.0 	
PSO J215.1514-16.0417   14:20:36.30 -16:02:30.20	215.15143000	-16.04173500	5.730	
SHELLQs J1422+0011 	14:22:00.23 +00:11:03.0	 	215.5009583       0.1841667	5.89 	
SDSS J1423+1303		14:23:25.92 +13:03:00.7	       	215.85800711	 13.05019556	5.021	
SHELLQs J1423-0018	14:23:31.71 -00:18:09.10	215.88212500	 -0.30252778	6.13    
NDWFS J1425+3254        14:25:16.34 +32:54:09.57	216.31805050     32.90265034	5.8918 	
SHELLQs J1425-0015   	14:25:17.72 -00:15:40.90	216.32383333	 -0.26136111	6.18    
PS1 J1427-0503		14:27:21.56 -05:03:53.04 	216.8398333      -5.0647333	5.08	
SDSS J1427+3522		14:27:29.69 +35:22:08.9	       	216.87370833	 35.36916111	5.530	
FIRST J1427+3312        14:27:38.59 +33:12:41.00	216.91079000	 33.21166600	6.120	
PSO J217.0891-16.0453   14:28:21.39 -16:02:43.30	217.08913280	-16.04536083	6.1498	
SHELLQs J1429-0104 	14:29:03.08 -01:04:43.40	217.26283333	 -1.07872222	6.8	
SHELLQs	J1429-0002	14:29:20.22 -00:02:07.40	217.3342500    	 -0.0353889	6.04	
SDSS J1429+3304		14:29:37.97 +33:04:16.2	       	217.40820833	 33.07116666	5.390	
CFHQS J1429+5447        14:29:52.17 +54:47:17.70	217.46737000   	 54.78824900	6.1831	
PSO J217.9185-07.4120   14:31:40.45 -07:24:46.47	217.91853330   	 -7.41207447	6.140	
SDSS J1436+2132		14:36:05.00 +21:32:39.2	       	219.02084569	 21.54423663	5.22	
SDSS J1436+5007         14:36:11.74 +50:07:06.90	219.04891570	 50.11865442	5.850	
SDSS J1437+2323		14:37:51.82 +23:23:13.3	       	219.46593790	 23.38704160	5.305	
MMT J1437+5151		14:37:56.54 +51:51:15.1	       	219.48558333	 51.85419444	5.17
SHELLQs J1440-0107   	14:40:01.30 -01:07:02.20	220.00541666	 -1.11727778	6.13  	
SDSS J1443+3623		14:43:50.66 +36:23:15.1	       	220.96111436	 36.38753780	5.12	
SDSS J1500+2816 	15:00:36.84 +28:16:03.03	225.153499   	 28.2675083	5.55
CFHQS J1509-1749        15:09:41.78 -17:49:26.80	227.42408000	-17.82411100	6.1225	
SDSS J1510+5148		15:10:35.29 +51:48:41.0	       	227.64705421	 51.81141544	5.06	
SUVAW J1513+0854	15:13:39.64 +08:54:06.5	       	228.41516666      8.90180555	5.47	
PSO J228.6871+21.2388   15:14:44.91 +21:14:19.78	228.68711630 	 21.23882642	5.920	
SDWISE J1523+5916	15:23:02.90 +59:16:33.04   	230.7620833 	 59.2758444	5.11   	
SDSS J1523+3347		15:23:45.70 +33:47:59.8	       	230.94041905	 33.79995642	5.33	
SDSS J1524+0816		15:24:04.10 +08:16:39.3	       	231.01708333	  8.27758333	5.080	
PSO J231.6576-20.8335	15:26:37.84 -20:50:00.66	231.65767083	-20.83351667	6.5864	
SUVAW J1527+0641	15:27:12.86 +06:41:21.9	       	231.80358333 	  6.68941666	5.57	
TGSS J1530+1049         15:30:49.9  +10:49:31.1         232.7079167      10.8253056    	5.72
PS1 J1533-1810		15:33:59.76 -18:10:27.21 	233.4990000     -18.1742250	5.03	
SDSS J1534+1327		15:34:59.75 +13:27:01.4	       	233.74898973	 13.45039414	5.044	
DELS J1535+1943 	15:35:32.87 +19:43:20.1  	233.886958   	 19.7222500	6.4
PSO J235.9450+17.0079   15:43:46.82 +17:00:28.46 	235.94506680	 17.00790591	5.82	
SHELLQs J1545+4232 	15:45:05.62 +42:32:11.6		236.2734167      42.5365556  	6.50 	
PSO J236.2912+16.6088   15:45:09.90 +16:36:31.91	236.29124150	 16.60886345	5.82	
SDSS J1545+6028         15:45:52.08 +60:28:24.00	236.46704100	 60.47332022	5.78	
SHELLQs J1550+4318 	15:50:00.93 +43:18:02.8		237.5038750      43.3007778 	5.84 	
PSO J238.8510-06.8976   15:55:24.25 -06:53:51.59	238.85103350	 -6.89766289	5.81	
PSO J239.7124-07.4026   15:58:50.99 -07:24:09.59	239.71246090	 -7.40266413	6.11	
DELS J1559+2212		15:59:09.09 +22:12:14.43	239.7878750    	 22.2040083 	6.07    
SDWISE J1601-1828	16:01:11.16 -18:28:35.08   	240.2964999     -18.4764111	5.06   	
SDSS J1602+4228         16:02:54.18 +42:28:22.90	240.72490880	 42.47359515	6.090	
ELAIS 1091000446        16:03:49.07 +55:10:32.30	240.95445830	 55.17563889	6.040 	
ULAS J1609+3041         16:09:37.27 +30:41:47.70	242.40529130	 30.69660519	6.140 	
PSO J242.4397-12.9816   16:09:45.53 -12:58:54.11	242.43971000	-12.98169708	5.830 	
SDSS J1610+4117		16:10:16.71 +41:17:53.7	       	242.56966544	 41.29827146	5.005	
SDSS J1614+4640		16:14:25.13 +46:40:28.9	       	243.60470833	 46.67470555	5.313	
SDSS J1614+0114 	16:14:35.36 +01:14:44.79	243.647333        1.2457750	5.78
SDSS J1614+2059		16:14:47.04 +20:59:02.9	       	243.69600000	 20.98415833	5.091	
PSO J245.0636-00.1978   16:20:15.28 -00:11:52.30	245.06367660	 -0.19786005	5.680 	
SDSS J1621+5155         16:21:00.92 +51:55:48.86	245.25383000	 51.93022000	5.710 	
SDWISE J1623+4705	16:23:15.28 +47:05:59.90   	245.8136666   	 47.0999722	5.13   	
SDSS J1623+3112         16:23:31.81 +31:12:00.50	245.88256020	 31.20014751	6.260 	
SDSS J1626+2751		16:26:26.50 +27:51:32.4	       	246.61042035	 27.85902656	5.16	
SDSS J1626+2858		16:26:29.19 +28:58:57.6		246.62167	 28.98266	5.041	
PSO J247.2970+24.1277	16:29:11.30 +24:07:39.74	247.29706666	 24.12770556	6.476	
SDSS J1630+4012         16:30:33.90 +40:12:09.60	247.64126390	 40.20269293	6.065	
CFHQS J1641+3755        16:41:21.64 +37:55:20.50	250.34053470	 37.92226289	6.047	
SDSS J1650+1617 	16:50:42.26 +16:17:21.50	252.676083   	 16.2893055	5.52
SDWISE J1656+4541	16:56:35.46 +45:41:13.55   	254.1477499  	 45.6870972	5.34   	
SDSS J1659+2709		16:59:02.12 +27:09:35.1	       	254.75883333     27.15977500	5.312	
SDWISE J1659+3239	16:59:51.03 +32:39:28.63   	254.962625 	 32.6579527	5.17   	
PSO J261.0364+19.0286	17:24:08.74 +19:01:43.12	261.03642916	 19.02864444	6.44
HSC 1732+6531  		17:32:43.12 +65:31:13.49	263.1796583      65.5204139     6.600
PSO J267.0021+22.7812   17:48:00.51 +22:46:52.36	267.00211000	 22.78121067	5.95	
SDWISE J1752+5036	17:52:44.10 +50:36:33.05   	268.18375  	 50.6091805	5.02   	
PSO J293.0317+71.6523   19:32:07.62 +71:39:08.41	293.03176500	 71.65233549	6.08	
PSO J308.0416-21.2339   20:32:09.99 -21:14:02.31	308.04164010	-21.23397495	6.2341	
PS1 J2033+1218		20:33:10.47 +12:18:51.49	308.2936250      12.3143028	5.11
PSO J308.4829-27.6485   20:33:55.91 -27:38:54.60	308.48297000	-27.64850000	5.80	
SDSS J2053+0047         20:53:21.77 +00:47:06.80	313.34070000	  0.78522220	5.92	
SDSS J2054-0005         20:54:06.49 -00:05:14.80	313.52704000	 -0.08744440	6.0391	
CFHQS J2100-1715        21:00:54.62 -17:15:22.50	315.22758000	-17.25624900	6.0812	
VHS  J2102-1458 	21:02:19.22 -14:58:54.0  	315.580083  	-14.9816666	6.648
SDSS J2118-0003		21:18:12.73 -00:03:50.7	       	319.5530416	 -0.0640833	5.46	
PSO J319.6040-10.9326   21:18:24.97 -10:55:57.43	319.60403000	-10.93262000	5.90	
SDSS J2119+1029		21:19:28.32 +10:29:06.6	       	319.86799999  	 10.48516666	5.180	
SDSS J2119-0040		21:19:51.89 -00:40:20.10 	319.96620833	 -0.67225000	5.87	
PSO J320.8703-24.3604   21:23:28.88 -24:21:37.44	320.87033000	-24.36040000	5.730
VDES J2131-4359		21:31:10.29 -43:59:02.5		322.7928750    	-43.9840278	6.45
PSO J323.1382+12.2986	21:32:33.19 +12:17:55.26	323.13829583	 12.29868333	6.5881	
SUVAW J2142-0120	21:42:39.27 -01:20:00.3	       	325.66362499     -1.33341666	5.61	
SDSS J2147+0107         21:47:55.41 +01:07:55.30	326.98087000	  1.13202770	5.810	
PSO J328.7339-09.5076   21:54:56.16 -09:30:27.46	328.73399660	 -9.50762740	5.920	
SDWISE J2201+0302	22:01:06.63 +03:02:07.71   	330.2776249       3.0354750	5.06   	
SHELLQs J2201+0155	22:01:32.07 +01:55:29.00	330.38362500	  1.92472222	6.16	
SDWISE J2202+1509  	22:02:26.77 +15:09:52.38   	330.6115416      15.1645500	5.07   	
MMT J2202+0131		22:02:33.20 +01:31:20.3	       	330.63833333	  1.52230555	5.23
IMS J2204+0012          22:04:17.92 +01:11:44.80	331.07466670	  1.19577778	5.940
IMS J2206+0201		22:06:34.81 +02:01:36.3		331.6450417       2.0267500  	5.101
SDWISE J2207-0416	22:07:10.12 -04:16:56.28   	331.7921666      -4.2823000	5.53   	
SHELLQs J2210+0304	22:10:27.24 +03:04:28.5		332.6135000       3.0745833	6.90
IMS J2210+0243		22:10:36.99 +02:43:13.7		332.6541250  	  2.7204722	5.204
VDES J2211-6320		22:11:00.60 -63:20:55.8		332.7525000    	-63.3488333	6.88
ATLAS J332.8017-32.1036	22:11:12.42 -32:06:12.8		332.8017500	-32.10355556	6.3394	
SDSS J2211+0011		22:11:41.01 +00:11:18.9	       	332.92087499	  0.18858333	5.23 	
SDSS J2212-0042		22:12:51.49 -00:42:30.7	       	333.21454166	 -0.70852777	5.42 	
MMT J2213+0034		22:13:05.26 +00:34:07.8	       	333.27191666	  0.56883333	5.31 	
MMT J2215-0009		22:15:20.22 -00:09:08.4	       	333.83425000 	 -0.15233333	5.28
PSO J333.9859+26.1081   22:15:56.63 +26:06:29.41	333.98597890	 26.10816837	6.030	
SDSS J2216+0013		22:16:44.02 +00:13:48.1	       	334.18341666	  0.23002778	5.01
HSC J2216-0016          22:16:44.47 -00:16:50.10	334.18529170	 -0.28058333	6.100
VIMOS 2911001793        22:19:17.22 +01:02:48.90	334.82175000	  1.04691667	6.160	
SDSS J2220-0101         22:20:18.49 -01:01:46.89 	335.07704000	 -1.02969114	5.620	
SHELLQs J2223+0326 	22:23:09.51 +03:26:20.3		335.7896250       3.4389722 	6.05 	
SDWISE J2225+0330	22:25:14.38 +03:30:12.50   	336.3099166  	  3.5034722	5.35	
SDWISE J2226-0618	22:26:12.41 -06:18:07.29   	336.5517083	 -6.3020249	5.08   	
HSC J2228+0128          22:28:27.83 +01:28:09.50	337.11595830	  1.46930556	6.010	
SDSS J2228+0110         22:28:43.54 +01:10:32.20	337.18141000	  1.17561110	5.950	
SDSS J2228-0757		22:28:45.15 -07:57:55.3	       	337.18812499 	 -7.96538333	5.142	
SHELLQs J2228+0152 	22:28:47.71 +01:52:40.50	337.19879166	  1.87791667	6.08	
CFHQS J2229+1457        22:29:01.65 +14:57:09.00	337.25687000	 14.95249900	6.1517	
SHELLQs J2231-0035 	22:31:48.89 -00:35:47.5		337.9537083      -0.5965278 	5.87 	
HSC J2232+0012          22:32:12.03 +00:12:38.40	338.05012500	  0.21066667	6.180	
PSO J338.2298+29.5089   22:32:55.15 +29:30:32.2		338.22977070	 29.50897599	6.666	
SDSS J2233-0107		22:33:27.64 -01:07:04.4	       	338.3651666	 -1.1178888	5.11	
HSC J2236+0032          22:36:44.58 +00:32:56.9		339.18575000	  0.54913889	6.400	
SDSS J2238-0027		22:38:50.20 -00:27:01.8	       	339.7091666	 -0.4505000	5.17  	
SDSS J2239+0030		22:39:07.56 +00:30:22.6	       	339.7814999	  0.5062777	5.09	
SHELLQs J2239+0207	22:39:47.47 +02:07:47.50	339.94779166	  2.12986111	6.26    
PSO J340.2041-18.6621   22:40:49.00 -18:39:43.80	340.20417000	-18.66217000	6.01	
CFHQS J2242+0334        22:42:37.55 +03:34:21.60	340.65645000	  3.57266660	5.880	
SDSS J2245+0024		22:45:24.27 +00:24:14.2	       	341.3511249	  0.4039444	5.16	
VDES J2250-5015		22:50:02.01 -50:15:42.15 	342.50837500	-50.26170833	6.00	
SHELLQs J2252+0225	22:52:05.44 +02:25:31.9		343.0226667       2.4255278	6.12 	
SHELLQs J2255+0251 	22:55:38.04 +02:51:26.6		343.9085000       2.8573889  	6.34 	
SHELLQs J2304+0045 	23:04:22.97 +00:45:05.4		346.0957083       0.7515000 	6.36 	
SDSS J2307+0031         23:07:35.35 +00:31:49.40	346.89729000	  0.53038880	5.870	
SDSS J2310+1855         23:10:38.88 +18:55:19.70	347.66205860	 18.92220166	6.0031	
SDSS J2312+0100		23:12:16.44 +01:00:51.5	       	348.0684999	  1.0143055	5.08	
SDSS J2315-0023         23:15:46.57 -00:23:58.10	348.94404000	 -0.39947220	6.117	
SDSS J2317+2244 	23:17:38.25 +22:44:09.63 	349.409375   	 22.7360083	5.50
CFHQS J2318-0246        23:18:02.80 -02:46:34.00	349.51166000  	 -2.77611110	6.050	
VIK J2318-3113		23:18:18.35 -31:13:46.35	349.5764625	 -31.22954167	6.4435
VIK J2318-3029		23:18:32.91 -30:29:34.7		349.6371250      -30.4929722	6.1458	
SDSS J2325+2628         23:25:14.24 +26:28:47.60	351.30935080	 26.47995309	5.770	
SUVAW J2325-0553	23:25:36.64 -05:53:28.3	       	351.40266666     -5.89119444	5.22	
CFHQS J2329-0301        23:29:08.28 -03:01:58.80 	352.28450000	 -3.03299990	6.417
CFHQS J2329-0403        23:29:14.46 -04:03:24.10	352.31025000	 -4.05669440	5.900
PSO J352.4034-15.337	23:29:36.84 -15:20:14.46        352.403485      -15.33735	5.84	
SDWISE J2329+3003	23:29:39.30 +30:03:50.78   	352.41375  	 30.0641055	5.24   	
SUVAW J2330+0957	23:30:08.71 +09:57:43.7	       	352.53629166      9.96213888	5.30	
SDSS J2334-0010		23:34:55.05 -00:10:22.1	       	353.7293749	 -0.1728055	5.11	
SDWISE J2344+1653	23:44:33.50 +16:53:16.48   	356.1395833  	 16.8879111	5.00   	
VIK J2348-3054          23:48:33.34 -30:54:10.00	357.13890000	-30.90284400	6.9018	
PSO J357.8289+06.4019   23:51:18.96 +06:24:06.92	357.82899110	  6.40192191	5.810	
SUVAW J2351-0459	23:51:24.31 -04:59:07.3	       	357.85129166     -4.98536111	5.25	
PSO J359.1352-06.3831   23:56:32.45 -06:22:59.26	359.13521490	 -6.38312644	6.1722	
SDSS J2356+0023         23:56:51.58 +00:23:33.30	359.21491000	  0.39258330	6.000	
SUVAW J2358+0634	23:58:24.04 +06:34:37.4	       	359.60016666      6.57705555	5.32    
